,Unnamed: 0,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day
364522,1115597,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"1681 a ( d ) ( 2 ) ( A ) ( i ) clearly states that transactions between the consumer and the Person/Corporation making the report is NOT included on the consumer reports. Yet is reporting this information. The reporting of excluded information pursuant to 15USC 1681 a ( d ) ( 2 ) ( A ) ( i ) on a consumer report is a clear violation of compliance. Provide me with the compliance disclosure on reporting transactions to a consumer reporting agency. I need the transactions reporting as late, collection/charge-off status and any other derogatory information deleted from my consumer reports effective immediately. Before you think to reply that this account has been "" validated ', let 's be clear that I am not asking you to validate or verify anything. So please do not respond by telling me that as a tactic to waste my valuable time. Some of the negative accounts have been placed in Collection/Charge-Off Status WITHOUT mailing me a copy of IRS form 1099-C Cancellation of Debt and the creditors reporting collections/Charge-Offs, late payments/other derogatory information in my consumer reports are in violation of 26 USC ss 6050P Returns Relating to the Cancellation of Indebtedness By Certain Entities. If this derogatory account information is not deleted from my consumer reports within 30 days, I will be forced to officially file IRS form 3949A : Information Referral AND IRS form 211 : Application For Award For Original Information Overview with the Internal Revenue Service against ALL entities involved.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,31907,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8102355,2024,1,3
201512,637344,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"In accordance with the Fair Credit Reporting act. The List of accounts below violated my Federally protected consumer rights to privacy and confidentiality under 15 USC 1681 DEPT OF EDUCATION has violated my rights. 15 U.S.C 1681 section 602 A. States I have the right to privacy 15 U.S.C 1681 section 604 A section 2. This also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information ANY other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.15 U.S.C 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MI,48111,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8101462,2024,1,4
3809,95570,2024-01-30,Checking or savings account,Other banking product or service,Managing an account,Deposits and withdrawals,"Bank of America/ Merrill Edge blocked access to the accounts under them at Merrill and did not allow access to my funds for multiple weeks as it seems they initially thought some fraud was happening in the account.After calling them and giving them all the information they wanted and changing ID and passwords per there recommendation they still kept the account blocked despite assurances that the changes done would suffice to release the block.After 3 weeks of providing all the information asked, the account block has not been lifted, and after multiple phone calls made in those 3 weeks where each successive agents/service person assured me that it was getting resolved within hours am still waiting for the block to be lifted and am now short of funds for completing a real estate transaction.This is for someone who has been with them for decades as a client, so they have adequate information on self.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02492,,Consent provided,Web,2024-01-30,Closed with explanation,Yes,,8254499,2024,1,30
1612482,4422015,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.15 U.S.C 1681 section 602 A. States I have the right to privacy.15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77316,,Consent provided,Web,2024-01-02,Closed with non-monetary relief,Yes,,8095371,2024,1,2
700678,1830614,2024-01-01,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,In accordance with the Fair Credit Reporting Act Acct has violated my rights. 15 US C 1681 Section 602 A states I have a right to privacy.15 US C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TN,38119,,Consent provided,Web,2024-01-01,Closed with non-monetary relief,Yes,,8088986,2024,1,1
603380,1624393,2024-01-07,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Tranunion are reporting late payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,89118,,Consent provided,Web,2024-01-07,Closed with non-monetary relief,Yes,,8119868,2024,1,7
72482,322755,2024-01-04,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"This is a follow up with additional abuse by Barclays related to the claim Today I found another charge for {63 pending from on my account which I closed! They have since sent me credit cards that I HAVE NOT ACTIVATED yet somehow this charge is pending on a card ending in I saw that this account could be locked, so I locked it. This abuse has got to stop. How are cards being activated when I am NOT activating them? All I want is my money refunded that was fraudulently charged on my account and to be done with Barclays. I never want to deal with this company again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,NC,27215,,Consent provided,Web,2024-01-04,Closed with explanation,Yes,,8105325,2024,1,4
354570,1095551,2024-01-03,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,I am a victim of identity theft please remove this fraud inquiry from my credit report.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,95376,,Consent provided,Web,2024-01-03,Closed with non-monetary relief,Yes,,8097653,2024,1,3
232804,790212,2024-01-13,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I noticed on my most recent Barclays statement dated a charge for {29 for that was not authorized. I contacted on and asked about the charge and I was told it was a monthly charge for unlimited car wash. I informed the girl from that I didnt sign up for a monthly car wash and she told me I signed up in and they had been charging me monthly for the service since then. I told her I only authorized the {10 charge on for the car wash -I hadnt authorized anything else. She told me she would cancel the monthly subscription. I requested credit for months worth of transactions they had been charging me without authorization ) and she told me she could only credit me for months worth. I said that was unacceptable as I didnt authorize any transactions but the {10 on I then contacted Barclays billing disputes and spoke to someone regarding this and she said that since the merchant said they would credit months, she would dispute the remaining months unauthorized transactions. On Wednesday I received a letter from Barclays disputes department saying they were unable to obtain credit on my behalf because they did not receive the notification within statement cycles after the charges appeared on my monthly statement and they are past the timeframe to assist. I called Barclays disputes department that same day and spoke to a gentleman and told him the charges were fraudulently made by so asked how I would know to notify them within statement cycles? He said they are unable to assist so I requested to speak to a supervisor to which he took down my number and said I would receive a call back in hours. I never received a call back. I am contacting you in hopes that you can assist me in getting my money back for the fraudulent charges Barclays paid the merchant with my credit card. Your attention to this matter is much appreciated. Sincerely Dispute case # s for unauthorized transactions are",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,ND,58102,,Consent provided,Web,2024-01-13,Closed with explanation,Yes,,8154668,2024,1,13
2819,80135,2024-01-30,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not yours,ALLY FINANCIAL has an account reporting to my consumer report inaccurately. Ive reached out multiple times to fix this issue and get nothing but violations of my rights. This debt isn't mine. I want this account REMOVED from my consumer report.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,TX,77386,,Consent provided,Web,2024-01-30,Closed with explanation,Yes,,8253890,2024,1,30
1562515,4265502,2024-01-06,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"I am writing to formally complain about inaccurate and illegal reporting of transactions on my credit report, which I believe violates the Fair Credit Reporting Act ( FCRA ) specifically 15 U.S. Code 1681a.I have carefully reviewed my credit report, and I have identified several inaccuracies in the reporting of late payments and utilization of credit. As per 15 U.S. Code 1681a, The term consumer reporting agency means any person which, for monetary fees, dues, or on a cooperative nonprofit basis, regularly engages in whole or in part in the practice of assembling or evaluating consumer credit information or other information on consumers for the purpose of furnishing consumer reports to third parties, and which uses any means or facility of interstate commerce for the purpose of preparing or furnishing consumer reports. \n The term consumer means an individual. \n The term consumer report means any written, oral, or other communication of \nany information by a consumer reporting agency bearing on a consumers credit worthiness, credit standing, credit capacity, character, general reputation, personal characteristics, or mode of living. * ( 2 ) Exclusions \n ( A ) ( i ) report containing information solely as to transactions or experiences between the consumer and the person making the report ; \n It is illegal to report inaccurate information that adversely affects a consumer 's creditworthiness. Below are the specific discrepancies that I have identified Account number Account type : Home Equity. Date opened Late payments recognized on of . Account number Account type : Credit card. Date opened Late payments recognized on of Account number Account type : Auto Loan. Date opened Late payments recognized on of Account number Account type : Home Equity. Date opened 104 % credit utilization . Account number Account type : Credit card. Date opened 1 % utilization Account number Account type : Credit Card. Date opened 1 % Utilization.\n I am formally requesting that you conduct a thorough investigation into these matters, as required by the FCRA. I kindly request that you promptly correct the inaccurate information on my credit report by removing the incorrect late payments and adjusting the reported credit utilization. I understand that under 15 U.S. Code 1681i, you are required to conduct a reasonable investigation within 30 days of receiving a dispute. I urge you to adhere to this statutory requirement and provide me with written notification of the results of your investigation. If the investigation confirms the inaccuracies, I request that you update my credit report accordingly and provide me with a revised copy. Additionally, I would appreciate it if you could provide me with information on the steps taken to prevent such errors in the future. If my concerns are not addressed within the stipulated time frame, I will have no choice but to escalate this matter to the Consumer Financial Protection Bureau. Please treat this matter with the urgency it deserves.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",UT,84119,,Consent provided,Web,2024-01-06,Closed with non-monetary relief,Yes,,8117332,2024,1,6
4190,101304,2024-01-22,Vehicle loan or lease,Loan,Repossession,Voluntary repossession,I purchased a vehicle that was financed through titanium funds back in I had the car for about week and I could not afford to insure it and i returned the vehicle to the car lot. Titanium funds has been reporting negatively on my credit every single month since I am on and Ive asked several times about forgiveness or what I need to get this off my report and they said that there is no statute of limitations on how long they can report and refuse to give me any kind of assistance in resolving this.,Company believes it acted appropriately as authorized by contract or law,Titanium Funds,UT,84015,,Consent provided,Web,2024-01-22,Closed with explanation,Yes,,8205567,2024,1,22
3843,96179,2024-01-18,Credit card,General-purpose credit card or charge card,Getting a credit card,Sent card you never applied for,I received a U.S. Bank Card in the mail . that I did NOT request and I did NOT authorize and I did NOT complete and I did NOT submit any information towards a new debit card or credit card. I am afraid U.S. Bank has stolen and obtained my personal information and financial information to use for fraudulent purposes. It is a SCAM. I will NOT contact U.S. Bank knowing they have stolen my personal and financial information. I do NOT want their U.S. Bank I do NOT want them to keep or use my personal and financial information. I want U.S. Bank to remove/delete/purge my information from their system.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CT,064XX,Older American,Consent provided,Web,2024-01-18,Closed with non-monetary relief,Yes,,8169822,2024,1,18
1679,58986,2024-01-19,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"I am writing to file a formal complaint against Credit Acceptance regarding their unethical practices, specifically related to bullying, improper use of my credit report, and hidden fees associated with my car loan. I believe that these actions are in violation of consumer protection laws and regulations. I entered into a car loan agreement with Credit Acceptance on Since then, I have experienced numerous instances of bullying and harassment from their representatives. They have resorted to aggressive and intimidating tactics, including constant phone calls, threats, and abusive language. This behavior has caused significant distress and anxiety, affecting my overall well-being. Additionally, I have discovered hidden fees associated with my car loan that were not disclosed to me during the loan application process. These undisclosed fees have resulted in unexpected financial burdens and have significantly impacted my ability to meet my financial obligations. The balance that is being shown on the credit report is very different from what I am looking at when I sign in the credit acceptance app. Im paying for this car two times the amount that I see the advertised price for. The internet price was When Im checking after that time I realize I was tricked into being a failure. Upon checking my recent credit report I see many inaccuracies and I disputed them 3-4 times with the credit bureau Each time they all came back verified and accurate. I ask for reinvestigation in another dispute and I get the same result. So now Im thinking no one is actually doing anything. Because my report has these errors. I been making a weekly payment and my balance never change each month on my credit report. I also disputed this and it came back the same while Im making these payments. I now regret getting this car and feel manipulated into a trap of messing up my credit worthiness. I have attempted to resolve these issues by contacting Credit Acceptance directly, but their response has been unsatisfactory. They have been uncooperative, dismissive of my concerns, and have failed to provide any reasonable solutions or explanations. I kindly request that the Consumer Financial Protection Bureau thoroughly investigate my complaint against Credit Acceptance. I believe their actions are not only unethical but also in violation of consumer protection laws, including the Fair Credit Reporting Act ( FCRA ) and the Fair Debt Collection Practices Act ( FDCPA )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,FL,32822,,Consent provided,Web,2024-01-19,Closed with explanation,Yes,,8183457,2024,1,19
1545,55335,2024-01-25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Bank of America pulled my credit report without my consent/permission. The auto loan was for the business and should have used the business credit score.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94561,,Consent provided,Web,2024-01-25,Closed with explanation,Yes,,8219786,2024,1,25
2531,76481,2024-01-24,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"I filed a complaint against a merchant with Citi pursuiant to the card contract and policy. Merchant was de de who refused to accept a foreign card in violation of policy and Local consumer protection law. Citi instead of filing a complaint against that merchant, filed ) DISPUTES against a different merchant Citi was contacted separate times to try to resolve this issue, remove the disputes, and has not done so. A complaint has now been filed directly with MO Citi has not done what is required of them per Rules nor what it is legally required to do under Card Holder Agreements. Original letter to Citi attached. ( private info redacted )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78045,Servicemember,Consent provided,Web,2024-01-24,Closed with non-monetary relief,Yes,,8216999,2024,1,24
1575064,4300685,2024-01-01,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,I have been trying to dispute incorrect and/or invalid items listed on my credit report and have gotten no assistance from the creditors or the credit bureaus regarding this matter. Please see the attached documents and letter for the referenced issues from above.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33544,,Consent provided,Web,2024-01-01,Closed with non-monetary relief,Yes,,8086616,2024,1,1
678244,1783422,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,I strongly desire not to have this appear on my credit report. I earnestly implore you ; this does not belong to me ; it is a clear case of fraud. Please take appropriate action regarding these inaccurate accounts.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MS,38637,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8104955,2024,1,4
1888,63838,2024-01-31,Checking or savings account,Checking account,Managing an account,Funds not handled or disbursed as instructed,I recently opened an account an account with BMO Harris. Before my husband was out of town trying to get money to me because they paid after the holiday instead of before the holidays. Thats not my complaint. We sent it After waiting several hours I had to call them in which they told me no transaction existed. So we were about to cancel and leave me with no money at all and the money comes through so one transaction did exist. Last Saturday my husband was still out of town. I had no money at all and went to cash out my account and paid $ and it was Sunday approximately and this was only the second time and they never put that through. I called several times. I was out of food and essentials. They told me they locked my card because I left my debit card as my default card on I didnt know a transaction. Went through. Someone turns the blame on me. That was hours ago and the woman told me the night before it would be there Monday and the second time I called I was still with out food and pet food and anything and the did not go through. I was panicking. Im like it has to go through anyway. It doesnt go through cash out because they actually a real deposit through and that never came through. I was crying and had no good. So then they put the Mon through Tues late and took out my money in the mean time my husband me a dollar and I received it and I said me $ to eat and buy essentials through the email Im using with you right now. Hours later almost 8 hours go by. I had nothing to eat in two days and they didnt put the through. This was a very serious situation. I called the lady to be made fun out sarcastic because I tolD her I didnt eat in almost three days because of their Bank errors. They never sent the She hung up on me. I was hysterically crying starving and I needed a prescription and could not get my prescription. I called my parents to ask them to me from Florida as I was in a very detrimental Situation. They had no problem $ comes through within 5 minutes. My husband at about 12 hours later gets a message from his bank telling him that BMO fraud the he put through earlier when they the transaction didnt exist and hung up and made fun out of me for being hungry without medicine for days. So I still have $ after getting groceries and medicine through my parents same account they told my husband bank was a fake email. Its not a fake email. Thru wouldnt let me see my bank information or even get get earlier that day never thing was getting declined. They were saying the bank credentials dont exist. Then later I put the same credentials in. It worked. So my now my husband at finally got frustrated because they are lying about things making fun out me being hungry and not having food and hanging up me. He sent money through money and paid for instant transaction and I still didnt get it. They have messed up and lied about every deposit thats been sent. Now were paying and nothing is going through worked fine but my husband showed me the confirmation. There was no mistake. Only because they know its a matter of emergency. They made fun out me. They are disgusting. I have my pension transaction that will be Thursday in which is tomorrow. I will take that money out of the account and close it. Ive never had such a terrible bank in my life,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BMO HARRIS BANK NATIONAL ASSOCIATION,IL,60452,,Consent provided,Web,2024-01-31,Closed with explanation,Yes,,8248502,2024,1,31
201084,635414,2024-01-06,Checking or savings account,Checking account,Closing an account,Can't close your account,"Bank of America makes it impossible to close an account. There's no method of doing so online, and when I try to call in and say I want to close my account it puts me on hold indefinitely ( it's been just about a full hour listening to the same annoying marketing message on fast repeat ) They obviously have the means to hire as much call center staff as they seem appropriate, so to me it seems like they're intentionally keeping staff on non-revenue generating actions like account closure slim on purpose. If they want to maximize their profits and refuse to hire more staff, they should at least let us close our accounts via the website. Wasting time having to go into a branch and wait in line there is not a reasonable thing to force us to do in when everything can be done online.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,900XX,,Consent provided,Web,2024-01-06,Closed with explanation,Yes,,8119804,2024,1,6
201815,638774,2024-01-04,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,"I am writing to express my extreme frustration and anger about the accounts on my credit report that I believe are inaccurately reflecting my payment history. I demand that these accounts be corrected immediately. Despite my repeated attempts to resolve this issue directly with the creditor and through your bureau, I have faced nothing but obstacles and delays. It is unacceptable that the creditor has failed to provide any supporting documentation to validate the debt, and yet the erroneous account is still listed as a late payment account on my credit report. I take this matter seriously and expect a thorough investigation into this dispute. I also anticipate a resolution that aligns with the laws and guidelines set forth to ensure accurate credit reporting. I demand that the credit bureau responds to this dispute within the stipulated time frame as mandated by the law. I withhold my consent for electronic communication and explicitly request that all responses be conveyed in written form through the United States Postal Service ( USPS and",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90746,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8096525,2024,1,4
4695,104735,2024-01-12,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"i sent my letter off in i told the bureaus to "" investigate every piece of information '' on the accounts i have listed below. Also i have attached the letter i sent out and here the tracking # according to the FCRA The term "" investigate consumer report '' means a consumer report or portion thereof in which information on a consumer 's character, general reputation, personal characteristics, or mode of living is obtained through personal interviews with neighbors, friends or associates of the consumer reported on or with others with whom he is acquainted or who may have knowledge concerning any such item of information. They stated my account was verified but how is that possible if they did not do a proper investigation according to the law. Also every piece of information on these accounts are still not reporting 1 % accurate. and according to the FCRA 15 USC 1681 has to be 1 % accurate. I have credit credit report showing the inaccuracies. Accounts Account BANK OF AMERICA Account Account Account Account Account Account ( Creditor ) Account ( Original creditor ) Account",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,07002,,Consent provided,Web,2024-01-12,Closed with explanation,Yes,,8173403,2024,1,12
205918,654884,2024-01-09,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,,"Hello, my name is On Friday at I received a call from someone claiming to be with the Wells Fargo Fraud Department . The call was placed from the phone number as well as the caller ID "" Wells Fargo Bank. '' The supposed employee claimed that there had been some suspicious transactions posted on my account totaling {35 in a faraway zip code. One transaction in the amount of {13 and one in the amount of {22 The employee then verified the last four of my account numbers and the dollar amount in each account. Once verified, the employee stated that they were working with someone in their department named The employee then stated that they froze the transactions and that In order to fully reverse the transfer, I needed to accept the {13 request from and that the funds would return to my account within the hour. After an hour I grew suspicious and called the number back, only this time I reached the actual Wells Fargo Fraud Department, who then informed me that I had just been scammed. I then submitted a fraud claim. The next day at I received another call from with the caller ID "" Wells Fargo Bank `` This time was another attempt to get me to "" reverse the second fraudulent {22 '' I promptly hung up the phone and re-dialed the number. Again this time I reached the actual Wells Fargo customer service line, who then prompted me to create this email/report. I recently received a decision from wells fargo saying that I am not entitled to my money back, and that it is not their fault because it was through the option on wells fargo. However, I don't see how this is my fault being that they had access to all of my personal information, including the amounts that were in my accounts and the account numbers and no one should have access to this but my bank.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,514XX,,Consent provided,Web,2024-01-09,Closed with explanation,Yes,,8131294,2024,1,9
672516,1771375,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"To Whom It May Concern, I am a consumer-defined under 15 USC 1681a ( c ) I noticed a charge off on my consumer credit report. According to the a charge-off is defined as a certificate of indebtedness, meaning it is income and must be removed. Why are you reporting INCOME on my consumer report? The law says it's illegal to report transaction history. If not removed, I will file legal action. In Good Faith With Prejudice",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32209,,Consent provided,Web,2024-01-02,Closed with non-monetary relief,Yes,,8087103,2024,1,2
63916,295878,2024-01-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"I strongly urge you to promptly address this error, clearing me of any responsibility. It is vital that you conduct a thorough investigation into this matter and swiftly rectify the mistake. Your immediate attention to this matter is highly appreciated.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60623,,Consent provided,Web,2024-01-04,Closed with non-monetary relief,Yes,,8102669,2024,1,4
1608930,4404755,2024-01-05,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,"The continued presence of this fraudulent account on my credit report is nothing short of an outrage. Despite my repeated attempts to rectify this situation, the fraudulent accounts continue to plague my creditworthiness and financial stability. It is beyond comprehension that your agency has failed to take swift and effective action to rectify this situation. Your agency 's failure to address this issue effectively is not only a violation of the Fair Credit Reporting Act but also a blatant disregard for the rights and well-being of consumers PLEASE DELETE! The ongoing presence of these fraudulent accounts on my credit report constitutes an affront to my rights and a source of profound distress and financial suffering.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,92201,,Consent provided,Web,2024-01-05,Closed with non-monetary relief,Yes,,8113992,2024,1,5
732381,1897640,2024-01-02,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"On or around I was reviewing my TransUnion consumer report and apon inspection I noticed there was a unwarranted, no written or verbal instructions giving permission for this derogatory Inquiry to be on my TransUnion consumer report from I have no open credit card or line of credit account with this Institution. My FCRA federal protected rights is being violated by this Inquiry being placed on my consumer report and TransUnion policy doesn't supercede federal law. So please Remove immediately before I start the litigation process.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,45431,,Consent provided,Web,2024-01-02,Closed with non-monetary relief,Yes,,8090523,2024,1,2
2200,69583,2024-02-04,Vehicle loan or lease,Loan,Repossession,Loan balance remaining after the vehicle is repossessed and sold,"First I have several situations pertaining to this matter. I was only able to click one. So I will list the rest within this complaint. My vehicle was repossessed in Texas while visiting family for I dont live in the state of Texas I live in Arkansas. So when they repossessed my vehicle which I feel they shouldve told me knowing that Im a resident of Arkansas that they was taking the vehicle. It was parked outside of a hotel. By them doing this me and my family was stranded in Texas for over 2 weeks. I never once hid the vehicle. When I arrived to retrieve my belongings out of the car. There was real bad front bumper damaged done to the car. Looks as if it was hanging at some point. Due to the zip ties I saw. That was not there. I called the finance company and they told me to contact the towing company. Which I feel the finance company shouldve done since they hired this company. They damaged my property. I have a video of the car. There also was a dent that wasnt there either. It was right above the fender on the drivers side above the tire. The ONLY documented damage to my car was on the passenger side due to someone side swiping me. That happened in It was scheduled to repairs in That couldnt happen when they had repossessed my vehicle in Next, they really didnt give me the opportunity to try to get my vehicle back. They sent a letter stating that they have my vehicle and something about it being sold. They did not send me any information about the sale of my vehicle, the date, time nor the place of the auction. So this wouldve gave me a chance to retrieve my vehicle back. According to the Arkansas law. They was supposed to notify me through a letter. Texas law is the same as well. So with that, that gave me NO chance at ALL to try to get my vehicle back in good standing. This financial company really doesnt work or try to work with you on your financial breakdowns. They dont refinance, they offer one hold back if you cant pay your note. But it has to be in good standing. Ive tried to get back on track. There was things that transpired while trying to pay for my loan. Missing lots of work due to workplace injurys, roommate left, left me with all of the responsibilities while they broke our lease doing so. Family members getting at that time it was 14 days so it was lots of things that had me behind. But for them to not notify me of the sale and damages my vehicle feels like a cover up. They sent me a letter saying how much it was sold for. They sold that vehicle for which was way below its value. They didnt try to get the face value of my vehicle. Which was a under miles brand new tires Hyundai Motor Finance company sold my car and didnt make an effort to sell my vehicle for fair market value. I want to know when and where & who has my vehicle. They are asking me to pay Which I know is incorrect. My property was damaged by them and the towing. They breached my peace so bad and leaving me and my family stranded in another state. That amount needs to be adjusted to cover the damage they caused. Heres a list of things they didnt do for me THE LAW SAYS, and I quote : the lender is legally required to send you a notice that includes important information before your car is sold. You also have the right to "" redeem '' your vehicle after it has been repossessed by paying the total remaining balance along with any repossession costs. However, you must exercise this right before the vehicle is sold They did NOT do any of these things so I could at least had a chance. As of right now cant afford to have a wage garnishment. Ive already took the first steps to filling bankruptcy. Also, and I quote : They must send you written notice prior to the sale stating : a description the vehicle that it is a sale that you are entitled to an accounting of the unpaid indebtedness and any charge for an accounting the time and place of a public disposition or the time after which another disposition is to be made any liability for a deficiency a telephone number to redeem collateral a phone number or mailing address from which more information about the sale is available NONE of this was done for me or too me. I feel like by them NOT doing these things They really didnt want me to have my vehicle back or work with me to give me a chance. This wasnt my first vehicle with this financial company. My first one ended with them due to the fact that I was reared with having that vehicle 7 months. So I dont know why they didnt work with me, or provide any assistance or information that couldve possibly helped me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,HYUNDAI CAPITAL AMERICA,AR,72034,,Consent provided,Web,2024-02-04,Closed with explanation,Yes,,8282124,2024,2,4
2312,72590,2024-01-27,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,In accordance with the fair credit reporting act this creditor has violated my rights under 15 USC 1681 section 6 o 2 states i have the right to privacy 15 USC 1681 section 6 o 4 a section 2 it also states a consumer reporting agency can not furnish an account without my written instructions under 15 USC 1666b a creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,HYUNDAI CAPITAL AMERICA,NJ,07621,,Consent provided,Web,2024-01-27,Closed with explanation,Yes,,8236026,2024,1,27
